                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7512,                 5.2431,                 3.9318,                0.57134,                0.07545,                0.03182,                0.01389,                  2.856,                 4.2398,                  3.263,             8.9732e-05,             8.9732e-05,             8.9732e-05
                      2,                 2.3489,                  3.676,                 2.8507,                0.27991,                0.39725,                0.24832,                0.17787,                 2.0487,                 3.1265,                 2.4879,             0.00017795,             0.00017795,             0.00017795
                      3,                 1.6551,                 2.6706,                  2.067,                 0.5157,                0.62439,                0.59137,                0.45446,                 1.7212,                  2.424,                 2.0829,             0.00026439,             0.00026439,             0.00026439
                      4,                  1.424,                 2.2362,                 1.7655,                0.62558,                0.72129,                 0.7322,                0.57669,                  1.553,                 2.1033,                  1.906,             0.00026198,             0.00026198,             0.00026198
                      5,                 1.3013,                 1.9104,                  1.609,                0.72631,                0.79053,                0.85885,                0.68388,                 1.3805,                 1.7766,                 1.7787,             0.00026198,             0.00026198,             0.00026198
                      6,                 1.2204,                 1.7247,                 1.5062,                0.86104,                0.69909,                0.85309,                0.68312,                 1.3556,                 1.6235,                 1.7121,             0.00025931,             0.00025931,             0.00025931
                      7,                 1.1725,                 1.5573,                  1.442,                0.89224,                0.78359,                0.90454,                0.72526,                 1.2707,                 1.3946,                 1.6235,             0.00025664,             0.00025664,             0.00025664
                      8,                 1.1125,                 1.4279,                 1.3848,                0.87872,                0.86191,                 0.9317,                0.73266,                 1.2725,                 1.2383,                 1.6041,             0.00025396,             0.00025396,             0.00025396
                      9,                 1.0879,                 1.3251,                 1.3435,                0.90705,                 0.9157,                0.95465,                0.76213,                  1.225,                   1.19,                 1.5587,             0.00025129,             0.00025129,             0.00025129
                     10,                 1.0567,                 1.2417,                 1.3161,                0.91916,                0.92242,                0.96128,                0.77363,                 1.1746,                  1.105,                 1.5102,             0.00024862,             0.00024862,             0.00024862
                     11,                 1.0373,                  1.178,                  1.287,                0.93175,                0.93695,                 0.9629,                0.77851,                 1.1665,                 1.0515,                 1.4877,             0.00024594,             0.00024594,             0.00024594
                     12,                 1.0206,                 1.1261,                  1.269,                0.95313,                0.91464,                0.96402,                0.78257,                 1.1576,                 1.0401,                 1.4771,             0.00024327,             0.00024327,             0.00024327
                     13,                 1.0103,                 1.0931,                 1.2629,                0.94191,                0.94083,                0.96784,                0.77685,                  1.144,                0.99552,                  1.467,              0.0002406,              0.0002406,              0.0002406
                     14,                0.98005,                 1.0468,                 1.2373,                0.96094,                0.94415,                0.97118,                0.78084,                 1.1562,                0.94914,                 1.4575,             0.00023792,             0.00023792,             0.00023792
                     15,                0.97428,                 1.0072,                 1.2311,                0.96403,                0.95618,                0.97451,                0.78926,                 1.1132,                0.88232,                 1.4311,             0.00023525,             0.00023525,             0.00023525
                     16,                0.96399,                0.97053,                 1.2215,                0.96684,                0.94958,                0.97589,                0.78967,                 1.1436,                0.90197,                 1.4565,             0.00023258,             0.00023258,             0.00023258
                     17,                0.94729,                0.94577,                  1.203,                0.97077,                0.95371,                0.97668,                0.78911,                 1.1259,                0.88567,                 1.4534,             0.00022991,             0.00022991,             0.00022991
                     18,                0.94832,                0.92455,                 1.1984,                0.96958,                  0.963,                0.97714,                0.79514,                 1.1221,                0.85151,                 1.4053,             0.00022723,             0.00022723,             0.00022723
                     19,                0.93427,                0.90838,                 1.1909,                0.97096,                0.96379,                0.97861,                0.79533,                 1.0951,                0.84221,                 1.4023,             0.00022456,             0.00022456,             0.00022456
                     20,                0.93392,                0.88746,                 1.1864,                0.96942,                0.96072,                0.97756,                0.79311,                  1.098,                0.85159,                 1.3971,             0.00022189,             0.00022189,             0.00022189
                     21,                0.92778,                0.87318,                 1.1793,                0.97545,                0.96033,                0.97886,                0.79455,                 1.0971,                0.80961,                 1.3997,             0.00021921,             0.00021921,             0.00021921
                     22,                0.91053,                0.84323,                  1.167,                0.97771,                0.96721,                0.98035,                0.80026,                 1.0732,                0.77548,                  1.373,             0.00021654,             0.00021654,             0.00021654
                     23,                0.90412,                0.83152,                 1.1645,                0.97181,                0.96817,                 0.9797,                0.79633,                 1.0814,                0.79951,                 1.3834,             0.00021387,             0.00021387,             0.00021387
                     24,                0.89692,                0.82474,                 1.1621,                0.97189,                0.96844,                0.98018,                0.80245,                 1.0677,                0.78977,                 1.3712,             0.00021119,             0.00021119,             0.00021119
                     25,                0.90002,                0.80643,                 1.1566,                0.97228,                0.97368,                0.98161,                0.80585,                 1.0619,                0.75165,                 1.3741,             0.00020852,             0.00020852,             0.00020852
                     26,                0.88524,                0.79294,                 1.1547,                0.97109,                 0.9716,                0.98012,                 0.8063,                 1.0671,                0.77229,                  1.367,             0.00020585,             0.00020585,             0.00020585
                     27,                0.88227,                0.77784,                 1.1432,                0.98528,                0.97757,                0.98193,                0.80879,                 1.0537,                0.72879,                 1.3404,             0.00020317,             0.00020317,             0.00020317
                     28,                0.87847,                 0.7736,                 1.1417,                0.97994,                0.97385,                0.98208,                0.80726,                 1.0571,                0.72347,                 1.3649,              0.0002005,              0.0002005,              0.0002005
                     29,                0.87846,                0.75764,                 1.1396,                0.97657,                0.96648,                0.98129,                0.80604,                 1.0608,                0.73214,                 1.3526,             0.00019783,             0.00019783,             0.00019783
                     30,                0.87537,                0.74571,                 1.1328,                 0.9872,                0.97603,                0.98232,                 0.8095,                 1.0456,                 0.7055,                 1.3366,             0.00019516,             0.00019516,             0.00019516
                     31,                0.85972,                0.72757,                 1.1282,                0.98562,                0.97601,                0.98263,                0.80652,                 1.0408,                0.70762,                 1.3195,             0.00019248,             0.00019248,             0.00019248
                     32,                0.86431,                0.73636,                 1.1286,                0.98447,                0.97881,                0.98321,                0.81211,                 1.0384,                0.69628,                 1.3238,             0.00018981,             0.00018981,             0.00018981
