                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5794,                 5.1641,                 3.7389,                0.00827,                0.26055,                0.01282,                0.00665,                 2.7594,                 4.4387,                 3.2398,              0.0033234,              0.0033234,              0.0033234
                      2,                 2.1764,                 3.2522,                 2.3741,                0.35451,                0.30099,                0.26023,                0.19386,                 2.2422,                 3.2623,                 2.4307,              0.0066348,              0.0066348,              0.0066348
                      3,                 1.6623,                 2.3913,                 1.7697,                0.53939,                 0.5452,                 0.5127,                0.40911,                 1.9947,                 2.6225,                 2.0676,              0.0099241,              0.0099241,              0.0099241
                      4,                 1.4678,                 1.9158,                 1.5185,                0.79238,                0.59523,                0.62668,                0.50645,                 1.7931,                 1.6976,                 1.8899,               0.009901,               0.009901,               0.009901
                      5,                 1.3177,                 1.5551,                  1.388,                0.80803,                 0.5794,                 0.6219,                0.52495,                 1.6079,                   1.57,                 1.7134,               0.009901,               0.009901,               0.009901
                      6,                 1.2618,                 1.3711,                 1.3127,                0.92253,                0.63366,                0.66908,                0.56996,                  1.554,                 1.4412,                  1.615,               0.009868,               0.009868,               0.009868
                      7,                 1.1998,                 1.2296,                 1.2745,                0.93047,                0.64495,                0.68083,                 0.5733,                  1.515,                 1.1783,                 1.5868,               0.009835,               0.009835,               0.009835
                      8,                  1.168,                 1.1265,                 1.2406,                0.93986,                0.65521,                0.68435,                0.57985,                 1.4878,                 1.1169,                  1.552,               0.009802,               0.009802,               0.009802
                      9,                  1.139,                 1.0464,                 1.2192,                0.86627,                0.64988,                 0.6828,                0.58827,                 1.4619,                 1.0639,                 1.5083,               0.009769,               0.009769,               0.009769
                     10,                 1.1128,                0.98729,                 1.2018,                 0.9425,                0.65603,                0.69399,                 0.5916,                 1.4584,                 1.0774,                 1.4973,               0.009736,               0.009736,               0.009736
                     11,                 1.0946,                0.98792,                 1.1897,                 0.9845,                0.66704,                0.72118,                0.61409,                 1.1948,                 1.3464,                 1.4842,               0.009703,               0.009703,               0.009703
                     12,                 1.0451,                 0.9649,                  1.193,                0.98419,                0.67418,                0.76926,                0.64854,                 1.1244,                 1.1941,                 1.4614,                0.00967,                0.00967,                0.00967
                     13,                 1.0086,                0.94936,                 1.1931,                0.98126,                0.67703,                0.80541,                0.67407,                 1.1356,                 1.1698,                 1.4708,               0.009637,               0.009637,               0.009637
                     14,                0.96421,                0.91946,                 1.1901,                0.94286,                 0.7222,                0.91248,                0.74212,                 1.1225,                 1.0108,                 1.4327,               0.009604,               0.009604,               0.009604
                     15,                 0.9231,                0.87499,                 1.1922,                0.87473,                0.89679,                0.95548,                0.78027,                 1.1044,                0.91487,                 1.4284,               0.009571,               0.009571,               0.009571
                     16,                0.89282,                0.83681,                 1.1954,                 0.9377,                0.93258,                0.97379,                0.79138,                 1.1055,                0.90246,                 1.4327,               0.009538,               0.009538,               0.009538
